raw_name,canonical_name,match_method,confidence,record_type
LeadGenius,LeadGenius,exact,1.0,STARTUP
Plivo,Plivo,exact,1.0,STARTUP
RADAR,RADAR,exact,1.0,STARTUP
Cruise,Cruise,exact,1.0,STARTUP
MixerBox,MixerBox,exact,1.0,STARTUP
Akido Labs,Akido Labs,exact,1.0,STARTUP
Paperspace,Paperspace,exact,1.0,STARTUP
Smarking,Smarking,exact,1.0,STARTUP
Resolve,Resolve,exact,1.0,STARTUP
SigOpt,SigOpt,exact,1.0,STARTUP
Tara AI,Tara AI,exact,1.0,STARTUP
SnapMagic,SnapMagic,exact,1.0,STARTUP
Microhealth,Microhealth,exact,1.0,STARTUP
Deepgram,Deepgram,exact,1.0,STARTUP
Daily,Daily,exact,1.0,STARTUP
Netomi,Netomi,exact,1.0,STARTUP
Podium,Podium,exact,1.0,STARTUP
HistoWiz,HistoWiz,exact,1.0,STARTUP
Sendbird,Sendbird,exact,1.0,STARTUP
Iris Automation,Iris Automation,exact,1.0,STARTUP
OneChronos,OneChronos,exact,1.0,STARTUP
Airo Health,Airo Health,exact,1.0,STARTUP
Athelas,Athelas,exact,1.0,STARTUP
Entry,Entry,exact,1.0,STARTUP
"Veryfi, Inc.","Veryfi, Inc.",exact,1.0,STARTUP
AlemHealth,AlemHealth,exact,1.0,STARTUP
NanoNets,NanoNets,exact,1.0,STARTUP
Ridecell,Ridecell,exact,1.0,STARTUP
Skyways,Skyways,exact,1.0,STARTUP
Standard AI,Standard AI,exact,1.0,STARTUP
Spect,Spect,exact,1.0,STARTUP
AssemblyAI,AssemblyAI,exact,1.0,STARTUP
Thematic,Thematic,exact,1.0,STARTUP
FollowUpThen,FollowUpThen,exact,1.0,STARTUP
Jasper.ai,Jasper.ai,exact,1.0,STARTUP
Assembly,Assembly,exact,1.0,STARTUP
Fondo,Fondo,exact,1.0,STARTUP
Weekend (fmr. Volley),Weekend (fmr. Volley),exact,1.0,STARTUP
Tilt (f.k.a. Delphia),Tilt (f.k.a. Delphia),exact,1.0,STARTUP
Memora Health,Memora Health,exact,1.0,STARTUP
Observe.AI,Observe.AI,exact,1.0,STARTUP
Helloverify,Helloverify,exact,1.0,STARTUP
Within,Within,exact,1.0,STARTUP
Searchlight,Searchlight,exact,1.0,STARTUP
JITX,JITX,exact,1.0,STARTUP
Anima App,Anima App,exact,1.0,STARTUP
LabelFlow,LabelFlow,exact,1.0,STARTUP
Regology,Regology,exact,1.0,STARTUP
Alpha Vantage,Alpha Vantage,exact,1.0,STARTUP
Prodigal,Prodigal,exact,1.0,STARTUP
TENDERD,TENDERD,unresolved,0.0,STARTUP
SPATE,SPATE,unresolved,0.0,STARTUP
LemonBox,LemonBox,unresolved,0.0,STARTUP
Aesthetic,Aesthetic,unresolved,0.0,STARTUP
Overview,Overview,unresolved,0.0,STARTUP
AllSome Fulfillment,AllSome Fulfillment,unresolved,0.0,STARTUP
Hatch,Hatch,unresolved,0.0,STARTUP
BrainKey,BrainKey,unresolved,0.0,STARTUP
Tailornova/Couturme,Tailornova/Couturme,unresolved,0.0,STARTUP
Demodesk,Demodesk,unresolved,0.0,STARTUP
Probably Genetic,Probably Genetic,unresolved,0.0,STARTUP
Bunkerhill Health,Bunkerhill Health,unresolved,0.0,STARTUP
Autodial prev Qwest,Autodial prev Qwest,unresolved,0.0,STARTUP
Hypnos,Hypnos,unresolved,0.0,STARTUP
Allure Systems,Allure Systems,unresolved,0.0,STARTUP
Kraftful,Kraftful,unresolved,0.0,STARTUP
Soteris,Soteris,unresolved,0.0,STARTUP
Yummy Future,Yummy Future,unresolved,0.0,STARTUP
Rosebud AI,Rosebud AI,unresolved,0.0,STARTUP
Tensil,Tensil,unresolved,0.0,STARTUP
Vahan,Vahan,unresolved,0.0,STARTUP
Finlens,Finlens,unresolved,0.0,STARTUP
Hightouch,Hightouch,unresolved,0.0,STARTUP
Meridian Industries,Meridian Industries,unresolved,0.0,STARTUP
Taskade,Taskade,unresolved,0.0,STARTUP
Motion,Motion,unresolved,0.0,STARTUP
Flowglad,Flowglad,unresolved,0.0,STARTUP
MindsDB,MindsDB,unresolved,0.0,STARTUP
Segmed,Segmed,unresolved,0.0,STARTUP
Nextmv,Nextmv,unresolved,0.0,STARTUP
Datasaur,Datasaur,unresolved,0.0,STARTUP
Dashworks,Dashworks,unresolved,0.0,STARTUP
Replicate,Replicate,unresolved,0.0,STARTUP
Basedash,Basedash,unresolved,0.0,STARTUP
Clayboard,Clayboard,unresolved,0.0,STARTUP
Visual One,Visual One,unresolved,0.0,STARTUP
Ello,Ello,unresolved,0.0,STARTUP
QueryPie AI,QueryPie AI,unresolved,0.0,STARTUP
Kinter,Kinter,unresolved,0.0,STARTUP
Dropbase,Dropbase,unresolved,0.0,STARTUP
Photoroom,Photoroom,unresolved,0.0,STARTUP
Modernbanc,Modernbanc,unresolved,0.0,STARTUP
Recurrency,Recurrency,unresolved,0.0,STARTUP
UrbanKisaan,UrbanKisaan,unresolved,0.0,STARTUP
Atmo,Atmo,unresolved,0.0,STARTUP
Airbyte,Airbyte,unresolved,0.0,STARTUP
Legionfarm,Legionfarm,unresolved,0.0,STARTUP
