schema_version,record_type,source_name,source_url,company,title,date,is_remote,role_family,location,url,collected_at
1.0,JOB,Jobicy,https://jobicy.com/jobs/152061-director-of-product-management-us-remote,PerfectServe,Director of Product Management - US Remote,2026-08-29T17:27:24+00:00,True,,USA,https://jobicy.com/jobs/152061-director-of-product-management-us-remote,2026-08-30T11:51:18.379512+00:00
1.0,JOB,Jobicy,https://jobicy.com/jobs/152047-senior-backend-engineer-gen-ai,Zartis,Senior Backend Engineer - Gen AI,2026-08-29T16:33:34+00:00,True,Engineering,Europe,https://jobicy.com/jobs/152047-senior-backend-engineer-gen-ai,2026-08-30T11:51:18.379512+00:00
1.0,JOB,Jobicy,https://jobicy.com/jobs/152025-semi-senior-full-stack-engineer-python-react-e-learning,Truelogic,Semi-Senior Full Stack Engineer (Python / React) - E-learning,2026-08-29T16:23:31+00:00,True,Engineering,LATAM,https://jobicy.com/jobs/152025-semi-senior-full-stack-engineer-python-react-e-learning,2026-08-30T11:51:18.379512+00:00
1.0,JOB,Jobicy,https://jobicy.com/jobs/152024-senior-full-stack-engineer-net-angular-net-angular-govtech-hr-software-latam,Truelogic,Senior Full-Stack Engineer (.NET/Angular) (.NET/Angular) - GovTech / HR Software - LATAM,2026-08-29T16:23:30+00:00,True,Engineering,LATAM,https://jobicy.com/jobs/152024-senior-full-stack-engineer-net-angular-net-angular-govtech-hr-software-latam,2026-08-30T11:51:18.385106+00:00
1.0,JOB,Jobicy,https://jobicy.com/jobs/152010-senior-back-end-engineer-php-python-pet-tech-platform,Truelogic,Senior Back-end Engineer (PHP/Python) - Pet Tech Platform,2026-08-29T16:23:07+00:00,True,Engineering,LATAM,https://jobicy.com/jobs/152010-senior-back-end-engineer-php-python-pet-tech-platform,2026-08-30T11:51:18.385106+00:00
1.0,JOB,Jobicy,https://jobicy.com/jobs/152028-senior-back-end-engineer-c-net-software,Truelogic,Senior Back-end Engineer (C#/.NET) - Software,2026-08-29T16:23:36+00:00,True,Engineering,LATAM,https://jobicy.com/jobs/152028-senior-back-end-engineer-c-net-software,2026-08-30T11:51:18.410616+00:00
1.0,JOB,Jobicy,https://jobicy.com/jobs/152060-developer-relations-engineer-2,Supabase,Developer Relations Engineer,2026-08-29T17:27:09+00:00,True,Engineering,USA,https://jobicy.com/jobs/152060-developer-relations-engineer-2,2026-08-30T11:51:18.439800+00:00
1.0,JOB,Jobicy,https://jobicy.com/jobs/152057-multigres-engineer,Supabase,Multigres Engineer,2026-08-29T17:26:24+00:00,True,Engineering,Remote,https://jobicy.com/jobs/152057-multigres-engineer,2026-08-30T11:51:18.439800+00:00
1.0,JOB,Jobicy,https://jobicy.com/jobs/152046-senior-game-developer,Playson,Senior Game Developer,2026-08-29T16:33:32+00:00,True,Engineering,"Europe,  Ukraine",https://jobicy.com/jobs/152046-senior-game-developer,2026-08-30T11:51:18.439800+00:00
1.0,JOB,Jobicy,https://jobicy.com/jobs/152044-engineering-manager-5,Enode,Engineering Manager,2026-08-29T16:33:29+00:00,True,Engineering,Europe,https://jobicy.com/jobs/152044-engineering-manager-5,2026-08-30T11:51:18.439800+00:00
1.0,JOB,Jobicy,https://jobicy.com/jobs/152043-senior-qa-automation-engineer-boosters,Playson,Senior QA Automation Engineer (Boosters),2026-08-29T16:33:27+00:00,True,Engineering,Europe,https://jobicy.com/jobs/152043-senior-qa-automation-engineer-boosters,2026-08-30T11:51:18.439800+00:00
1.0,JOB,Jobicy,https://jobicy.com/jobs/152042-net-software-architect,Zartis,.NET Software Architect,2026-08-29T16:33:25+00:00,True,Engineering,Europe,https://jobicy.com/jobs/152042-net-software-architect,2026-08-30T11:51:18.439800+00:00
1.0,JOB,Jobicy,https://jobicy.com/jobs/152039-backend-java-engineer-kazakhstan-russian-speaker-6-months-contract,Binance,Backend Java Engineer - Kazakhstan/Russian speaker (6 months Contract),2026-08-29T16:33:20+00:00,True,Engineering,Europe,https://jobicy.com/jobs/152039-backend-java-engineer-kazakhstan-russian-speaker-6-months-contract,2026-08-30T11:51:18.439800+00:00
1.0,JOB,Jobicy,https://jobicy.com/jobs/152038-ai-augmented-software-engineer-gn-data-intelligence-platform,Actian,AI Augmented Software Engineer [gn] Data Intelligence Platform,2026-08-29T16:33:18+00:00,True,Engineering,Europe,https://jobicy.com/jobs/152038-ai-augmented-software-engineer-gn-data-intelligence-platform,2026-08-30T11:51:18.439800+00:00
1.0,JOB,Jobicy,https://jobicy.com/jobs/152035-senior-front-end-developer-react-typescript-market-research,Truelogic,Senior Front-End Developer (React / TypeScript) - Market Research,2026-08-29T16:23:47+00:00,True,Engineering,LATAM,https://jobicy.com/jobs/152035-senior-front-end-developer-react-typescript-market-research,2026-08-30T11:51:18.439800+00:00
1.0,JOB,Jobicy,https://jobicy.com/jobs/152034-data-qa-engineer-enterprise-data,Truelogic,Data QA Engineer – Enterprise Data,2026-08-29T16:23:45+00:00,True,Engineering,LATAM,https://jobicy.com/jobs/152034-data-qa-engineer-enterprise-data,2026-08-30T11:51:18.447508+00:00
1.0,JOB,Jobicy,https://jobicy.com/jobs/152031-senior-full-stack-engineer-react-or-vue-python-investment,Truelogic,Senior Full-stack Engineer (React OR Vue/Python) - Investment,2026-08-29T16:23:40+00:00,True,Engineering,LATAM,https://jobicy.com/jobs/152031-senior-full-stack-engineer-react-or-vue-python-investment,2026-08-30T11:51:18.447508+00:00
1.0,JOB,Jobicy,https://jobicy.com/jobs/152029-senior-consulting-engineer-latam,Clickhouse,Senior Consulting Engineer - LATAM,2026-08-29T16:23:38+00:00,True,Engineering,LATAM,https://jobicy.com/jobs/152029-senior-consulting-engineer-latam,2026-08-30T11:51:18.447508+00:00
1.0,JOB,Jobicy,https://jobicy.com/jobs/152023-senior-full-stack-engineer-react-node-backend-focused-real-estate-latam,Truelogic,Senior Full-stack Engineer (React/Node) (Backend-Focused) - Real Estate - LATAM,2026-08-29T16:23:28+00:00,True,Engineering,LATAM,https://jobicy.com/jobs/152023-senior-full-stack-engineer-react-node-backend-focused-real-estate-latam,2026-08-30T11:51:18.447508+00:00
1.0,JOB,Jobicy,https://jobicy.com/jobs/152011-backend-developer-net-azure,NTT DATA,Backend Developer (.NET/Azure),2026-08-29T16:23:09+00:00,True,Engineering,LATAM,https://jobicy.com/jobs/152011-backend-developer-net-azure,2026-08-30T11:51:18.447508+00:00
1.0,JOB,Jobicy,https://jobicy.com/jobs/152045-lead-data-architect,Zartis,Lead Data Architect,2026-08-29T16:33:30+00:00,True,Engineering,Europe,https://jobicy.com/jobs/152045-lead-data-architect,2026-08-30T11:51:18.477252+00:00
1.0,JOB,Arbeitnow,https://www.arbeitnow.com/jobs/companies/bjak/technical-product-manager-ai-finance-app-germany-128152,Bjak,Technical Product Manager - AI Finance App,2026-08-30T08:40:28+00:00,False,Product,Germany,https://www.arbeitnow.com/jobs/companies/bjak/technical-product-manager-ai-finance-app-germany-128152,2026-08-30T11:51:19.699529+00:00
1.0,JOB,Arbeitnow,https://www.arbeitnow.com/jobs/companies/bjak/product-lead-ai-stockbroking-app-germany-264583,Bjak,Product Lead - AI Stockbroking App,2026-08-30T08:40:28+00:00,False,,Germany,https://www.arbeitnow.com/jobs/companies/bjak/product-lead-ai-stockbroking-app-germany-264583,2026-08-30T11:51:19.699529+00:00
1.0,JOB,Arbeitnow,https://www.arbeitnow.com/jobs/companies/bjak/product-lead-ai-investing-app-germany-94660,Bjak,Product Lead - AI Investing App,2026-08-30T08:40:28+00:00,False,,Germany,https://www.arbeitnow.com/jobs/companies/bjak/product-lead-ai-investing-app-germany-94660,2026-08-30T11:51:19.699529+00:00
1.0,JOB,Arbeitnow,https://www.arbeitnow.com/jobs/companies/bjak/product-lead-ai-neobank-app-germany-53532,Bjak,Product Lead - AI Neobank App,2026-08-30T08:40:28+00:00,False,,Germany,https://www.arbeitnow.com/jobs/companies/bjak/product-lead-ai-neobank-app-germany-53532,2026-08-30T11:51:19.699529+00:00
1.0,JOB,Arbeitnow,https://www.arbeitnow.com/jobs/companies/armedangels/senior-seo-geo-manager-all-genders-koln-489956,Armedangels,Senior SEO/GEO Manager (all genders),2026-08-30T08:10:26+00:00,False,,Köln,https://www.arbeitnow.com/jobs/companies/armedangels/senior-seo-geo-manager-all-genders-koln-489956,2026-08-30T11:51:19.699529+00:00
